ACFT_ID;Profile_ID;Step Number;Step Type;Flap_ID;Start Altitude(ft);Start CAS (kt);Descent Angle (deg);Touchdown Roll (ft);Distance (ft);Start Thrust
737;DEFAULT;2;Descend;5;3000.0;170.0;3.0;;;
737;DEFAULT;3;Descend;D-25;1500.0;134.5;3.0;;;
737;DEFAULT;4;Descend;D-30;1000.0;131.5;3.0;;;
737;DEFAULT;5;Land;D-30;;;;255.6;;
737;DEFAULT;6;Decelerate;;;124.8;;;2300.4;40.0
737;DEFAULT;7;Decelerate;;;30.0;;;0;10.0
737300;DEFAULT;1;Descend;ZERO;6000.0;250.0;3.0;;;
737300;DEFAULT;2;Descend;5;3000.0;170.0;3.0;;;
737300;DEFAULT;3;Descend;D-15;1500.0;148.6;3.0;;;
737300;DEFAULT;4;Descend;D-30;1000.0;139.0;3.0;;;
737300;DEFAULT;5;Land;D-30;;;;316.8;;
737300;DEFAULT;6;Decelerate;;;131.9;;;2851.2;40.0
737300;DEFAULT;7;Decelerate;;;30.0;;;0;10.0
7373B2;DEFAULT;1;Descend;ZERO;6000.0;250.0;3.0;;;
7373B2;DEFAULT;2;Descend;5;3000.0;170.0;3.0;;;
7373B2;DEFAULT;3;Descend;D-15;1500.0;148.6;3.0;;;
7373B2;DEFAULT;4;Descend;D-30;1000.0;139.0;3.0;;;
7373B2;DEFAULT;5;Land;D-30;;;;316.8;;
7373B2;DEFAULT;6;Decelerate;;;131.9;;;2851.2;40.0
7373B2;DEFAULT;7;Decelerate;;;30.0;;;0;10.0
737400;DEFAULT;1;Descend;ZERO;6000.0;250.0;3.0;;;
737400;DEFAULT;2;Descend;5;3000.0;170.0;3.0;;;
737400;DEFAULT;3;Descend;D-15;1500.0;159.7;3.0;;;
737400;DEFAULT;4;Descend;D-30;1000.0;144.9;3.0;;;
737400;DEFAULT;5;Land;D-30;;;;360.2;;
737400;DEFAULT;6;Decelerate;;;137.5;;;3241.8;40.0
737400;DEFAULT;7;Decelerate;;;30.0;;;0;10.0
737500;DEFAULT;1;Descend;ZERO;6000.0;250.0;3.0;;;
737500;DEFAULT;2;Descend;5;3000.0;170.0;3.0;;;
737500;DEFAULT;3;Descend;D-15;1500.0;143.4;3.0;;;
737500;DEFAULT;4;Descend;D-30;1000.0;135.3;3.0;;;
737500;DEFAULT;5;Land;D-30;;;;314.2;;
737500;DEFAULT;6;Decelerate;;;128.4;;;2827.8;40.0
737500;DEFAULT;7;Decelerate;;;30.0;;;0;10.0
737700;DEFAULT;1;Descend;T_ZERO;6000.0;250.0;3.0;;;
737700;DEFAULT;2;Descend;T_5;3000.0;171.0;3.0;;;
737700;DEFAULT;3;Descend;A_15;1500.0;140.0;3.0;;;
737700;DEFAULT;4;Descend;A_40;1000.0;133.0;3.0;;;
737700;DEFAULT;5;Land;A_40;;;;304.7;;
737700;DEFAULT;6;Decelerate;;;116.0;;;2741.9;40.0
737700;DEFAULT;7;Decelerate;;;30.0;;;0;10.0
737800;DEFAULT;1;Descend-Idle;A_00;6000.0;248.9;3.0;;;
737800;DEFAULT;2;Level-Idle;A_00;3000.0;249.5;;;25437.0;
737800;DEFAULT;3;Level-Idle;A_01;3000.0;187.2;;;3671.0;
737800;DEFAULT;4;Level-Idle;A_05;3000.0;174.7;;;5209.0;
737800;DEFAULT;5;Descend-Idle;A_15;3000.0;151.4;3.0;;;
737800;DEFAULT;6;Descend;A_30;2817.0;139.1;3.0;;;
737800;DEFAULT;7;Land;A_30;;;;393.8;;
737800;DEFAULT;8;Decelerate;A_30;;139.0;;;3837.5;40.0
737800;DEFAULT;9;Decelerate;A_30;;30.0;;;0;10.0
7378MAX;DEFAULT;1;Descend-Idle;A_00;6000.0;249.2;3.0;;;
7378MAX;DEFAULT;2;Level-Idle;A_00;3000.0;249.7;;;24557.0;
7378MAX;DEFAULT;3;Level-Idle;A_01;3000.0;188.5;;;4678.0;
7378MAX;DEFAULT;4;Level-Idle;A_05;3000.0;173.7;;;4907.0;
7378MAX;DEFAULT;5;Descend-Idle;A_15;3000.0;152.0;3.0;;;
7378MAX;DEFAULT;6;Descend;A_30;2817.0;139.0;3.0;;;
7378MAX;DEFAULT;7;Land;A_30;;;;393.8;;
7378MAX;DEFAULT;8;Decelerate;A_30;;139.0;;;3837.5;40.0
7378MAX;DEFAULT;9;Decelerate;A_30;;30.0;;;0;10.0
737D17;DEFAULT;1;Descend;ZERO;6000.0;250.0;3.0;;;
737D17;DEFAULT;2;Descend;5;3000.0;170.0;3.0;;;
737D17;DEFAULT;3;Descend;D-25;1500.0;140.2;3.0;;;
737D17;DEFAULT;4;Descend;D-30;1000.0;137.7;3.0;;;
737D17;DEFAULT;5;Land;D-30;;;;286.6;;
737D17;DEFAULT;6;Decelerate;;;130.7;;;2579.4;40.0
737D17;DEFAULT;7;Decelerate;;;30.0;;;0;10.0
737N17;DEFAULT;1;Descend;ZERO;6000.0;250.0;3.0;;;
737N17;DEFAULT;2;Descend;5;3000.0;170.0;3.0;;;
737N17;DEFAULT;3;Descend;D-25;1500.0;140.2;3.0;;;
737N17;DEFAULT;4;Descend;D-30;1000.0;137.7;3.0;;;
737N17;DEFAULT;5;Land;D-30;;;;286.6;;
737N17;DEFAULT;6;Decelerate;;;130.7;;;2579.4;40.0
737N17;DEFAULT;7;Decelerate;;;30.0;;;0;10.0
737N9;DEFAULT;1;Descend;ZERO;6000.0;250.0;3.0;;;
737N9;DEFAULT;2;Descend;5;3000.0;170.0;3.0;;;
737N9;DEFAULT;3;Descend;D-25;1500.0;134.5;3.0;;;
737N9;DEFAULT;4;Descend;D-30;1000.0;131.5;3.0;;;
737N9;DEFAULT;5;Land;D-30;;;;255.6;;
737N9;DEFAULT;6;Decelerate;;;124.8;;;2300.4;40.0
737N9;DEFAULT;7;Decelerate;;;30.0;;;0;10.0
737QN;DEFAULT;1;Descend;ZERO;6000.0;250.0;3.0;;;
737QN;DEFAULT;2;Descend;5;3000.0;170.0;3.0;;;
737QN;DEFAULT;3;Descend;D-25;1500.0;134.5;3.0;;;
737QN;DEFAULT;4;Descend;D-30;1000.0;131.5;3.0;;;
737QN;DEFAULT;5;Land;D-30;;;;255.6;;
737QN;DEFAULT;6;Decelerate;;;124.8;;;2300.4;40.0
737QN;DEFAULT;7;Decelerate;;;30.0;;;0;10.0
74710Q;DEFAULT;1;Descend;ZERO;6000.0;250.0;3.0;;;
74710Q;DEFAULT;2;Descend;10;3000.0;160.0;3.0;;;
74710Q;DEFAULT;3;Descend;D-20;1500.0;155.0;3.0;;;
74710Q;DEFAULT;4;Descend;D-30;1000.0;144.0;3.0;;;
74710Q;DEFAULT;5;Land;D-30;;;;462.6;;
74710Q;DEFAULT;6;Decelerate;;;136.6;;;4163.4;10.0
74710Q;DEFAULT;7;Decelerate;;;30.0;;;0;10.0
747200;DEFAULT;1;Descend;ZERO;6000.0;250.0;3.0;;;
747200;DEFAULT;2;Descend;10;3000.0;160.0;3.0;;;
747200;DEFAULT;3;Descend;D-20;1500.0;155.0;3.0;;;
747200;DEFAULT;4;Descend;D-30;1000.0;144.0;3.0;;;
747200;DEFAULT;5;Land;D-30;;;;462.6;;
747200;DEFAULT;6;Decelerate;;;136.6;;;4163.4;10.0
747200;DEFAULT;7;Decelerate;;;30.0;;;0;10.0
74720A;DEFAULT;1;Descend;ZERO;6000.0;250.0;3.0;;;
74720A;DEFAULT;2;Descend;10;3000.0;163.7;3.0;;;
74720A;DEFAULT;3;Descend;D-25;1500.0;150.0;3.0;;;
74720A;DEFAULT;4;Descend;D-30;1000.0;143.7;3.0;;;
74720A;DEFAULT;5;Land;D-30;;;;462.6;;
74720A;DEFAULT;6;Decelerate;;;136.3;;;4163.4;10.0
74720A;DEFAULT;7;Decelerate;;;30.0;;;0;10.0
74720B;DEFAULT;1;Descend;ZERO;6000.0;250.0;3.0;;;
74720B;DEFAULT;2;Descend;10;3000.0;171.9;3.0;;;
74720B;DEFAULT;3;Descend;D-25;1500.0;158.5;3.0;;;
74720B;DEFAULT;4;Descend;D-30;1000.0;151.9;3.0;;;
74720B;DEFAULT;5;Land;D-30;;;;462.6;;
74720B;DEFAULT;6;Decelerate;;;144.1;;;4163.4;10.0
74720B;DEFAULT;7;Decelerate;;;30.0;;;0;10.0
747400;DEFAULT;1;Descend;5;6000.0;250.0;3.0;;;
747400;DEFAULT;2;Descend;10;3000.0;175.4;3.0;;;
747400;DEFAULT;3;Descend;D-25;1500.0;161.4;3.0;;;
747400;DEFAULT;4;Descend;D-30;1000.0;155.4;3.0;;;
747400;DEFAULT;5;Land;D-30;;;;533.6;;
747400;DEFAULT;6;Decelerate;;;147.5;;;4802.4;10.0
747400;DEFAULT;7;Decelerate;;;30.0;;;0;10.0
7478;DEFAULT;1;Descend-Idle;;6000.0;278.8;3.0;;;
7478;DEFAULT;2;Level-Idle;;3000.0;279.5;;;30000.0;
7478;DEFAULT;3;Level-Idle;;3000.0;218.3;;;10000.0;
7478;DEFAULT;4;Level-Idle;;3000.0;186.1;;;3050.0;
7478;DEFAULT;5;Level-Idle;;3000.0;174.6;;;4500.0;
7478;DEFAULT;6;Level;F_10;3000.0;162.3;;;2069.0;
7478;DEFAULT;7;Descend;F_30;3000.0;157.4;3.0;;;
7478;DEFAULT;8;Land;F_30;;;;615.6;;
7478;DEFAULT;9;Decelerate;;;150.4;;;5540.4;10.0
7478;DEFAULT;10;Decelerate;;;30.0;;;0;10.0
747SP;DEFAULT;1;Descend;ZERO;6000.0;250.0;3.0;;;
747SP;DEFAULT;2;Descend;10;3000.0;160.0;3.0;;;
747SP;DEFAULT;3;Descend;D-20;1500.0;141.5;3.0;;;
747SP;DEFAULT;4;Descend;D-30;1000.0;132.4;3.0;;;
747SP;DEFAULT;5;Land;D-30;;;;436.6;;
747SP;DEFAULT;6;Decelerate;;;125.6;;;3929.4;10.0
747SP;DEFAULT;7;Decelerate;;;30.0;;;0;10.0
757PW;DEFAULT;1;Descend;ZERO;6000.0;250.0;3.0;;;
757PW;DEFAULT;2;Descend;5;3000.0;160.0;3.0;;;
757PW;DEFAULT;3;Descend;D-25;1500.0;136.5;3.0;;;
757PW;DEFAULT;4;Descend;D-30;1000.0;134.2;3.0;;;
757PW;DEFAULT;5;Land;D-30;;;;335.7;;
757PW;DEFAULT;6;Decelerate;;;127.3;;;3021.3;40.0
757PW;DEFAULT;7;Decelerate;;;30.0;;;0;10.0
757RR;DEFAULT;1;Descend;ZERO;6000.0;250.0;3.0;;;
757RR;DEFAULT;2;Descend;5;3000.0;160.0;3.0;;;
757RR;DEFAULT;3;Descend;D-25;1500.0;136.7;3.0;;;
757RR;DEFAULT;4;Descend;D-30;1000.0;134.7;3.0;;;
757RR;DEFAULT;5;Land;D-30;;;;322.2;;
757RR;DEFAULT;6;Decelerate;;;127.8;;;2899.8;40.0
757RR;DEFAULT;7;Decelerate;;;30.0;;;0;10.0
767300;DEFAULT;1;Descend;ZERO;6000.0;250.0;3.0;;;
767300;DEFAULT;2;Descend;5;3000.0;167.0;3.0;;;
767300;DEFAULT;3;Descend;D-25;1500.0;141.0;3.0;;;
767300;DEFAULT;4;Descend;D-30;1000.0;137.1;3.0;;;
767300;DEFAULT;5;Land;D-30;;;;328.5;;
767300;DEFAULT;6;Decelerate;;;130.1;;;2956.5;10.0
767300;DEFAULT;7;Decelerate;;;30.0;;;0;10.0
767CF6;DEFAULT;1;Descend;1;6000.0;250.0;3.0;;;
767CF6;DEFAULT;2;Descend;5;3000.0;168.5;3.0;;;
767CF6;DEFAULT;3;Descend;D-25;1500.0;143.0;3.0;;;
767CF6;DEFAULT;4;Descend;D-30;1000.0;138.5;3.0;;;
767CF6;DEFAULT;5;Land;D-30;;;;327.6;;
767CF6;DEFAULT;6;Decelerate;;;131.4;;;2948.4;10.0
767CF6;DEFAULT;7;Decelerate;;;30.0;;;0;10.0
767JT9;DEFAULT;1;Descend;ZERO;6000.0;250.0;3.0;;;
767JT9;DEFAULT;2;Descend;5;3000.0;168.5;3.0;;;
767JT9;DEFAULT;3;Descend;D-25;1500.0;143.0;3.0;;;
767JT9;DEFAULT;4;Descend;D-30;1000.0;138.5;3.0;;;
767JT9;DEFAULT;5;Land;D-30;;;;331.6;;
767JT9;DEFAULT;6;Decelerate;;;131.4;;;2984.4;10.0
767JT9;DEFAULT;7;Decelerate;;;30.0;;;0;10.0
7773ER;DEFAULT;1;Descend-Idle;;6000.0;249.9;3.0;;;
7773ER;DEFAULT;2;Level-Idle;;3000.0;249.9;;;20776.0;
7773ER;DEFAULT;3;Level-Idle;;3000.0;210.6;;;10088.0;
7773ER;DEFAULT;4;Level-Idle;;3000.0;185.4;;;5926.0;
7773ER;DEFAULT;5;Descend-Idle;;3000.0;170.4;3.0;;;
7773ER;DEFAULT;6;Descend;F_30;2700.0;147.8;3.0;;;
7773ER;DEFAULT;7;Land;F_30;;;;427.1;;
7773ER;DEFAULT;8;Decelerate;;;140.8;;;3843.5;10.0
7773ER;DEFAULT;9;Decelerate;;;30.0;;;0;10.0
7878R;DEFAULT;1;Descend-Idle;;6000.0;249.0;3.0;;;
7878R;DEFAULT;2;Level-Idle;;3000.0;249.5;;;20950.0;
7878R;DEFAULT;3;Level-Idle;;3000.0;214.3;;;10000.0;
7878R;DEFAULT;4;Level-Idle;;3000.0;178.9;;;5000.0;
7878R;DEFAULT;5;Descend-Idle;;3000.0;157.0;3.0;;;
7878R;DEFAULT;6;Descend;FLAP30;2725.0;142.3;3.0;;;
7878R;DEFAULT;7;Land;FLAP30;;;;362.7;;
7878R;DEFAULT;8;Decelerate;;;135.3;;;3264.3;10.0
7878R;DEFAULT;9;Decelerate;;;30.0;;;0;10.0
A300-622R;DEFAULT;1;Descend-Idle;;6000.0;250.0;3.3;;;
A300-622R;DEFAULT;2;Level-Idle;;3000.0;250.0;;;14583.3;
A300-622R;DEFAULT;3;Level-Idle;;3000.0;210.9;;;7398.3;
A300-622R;DEFAULT;4;Descend-Idle;;3000.0;185.1;3.0;;;
A300-622R;DEFAULT;5;Descend-Idle;;2417.0;175.9;3.0;;;
A300-622R;DEFAULT;6;Descend-Idle;;1818.0;149.0;3.0;;;
A300-622R;DEFAULT;7;Descend;FULL_D;1615.0;133.5;3.0;;;
A300-622R;DEFAULT;8;Descend;FULL_D;50.0;133.5;3.0;;;
A300-622R;DEFAULT;9;Land;FULL_D;;;;305.3;;
A300-622R;DEFAULT;10;Decelerate;;;130.5;;;2747.8;10.0
A300-622R;DEFAULT;11;Decelerate;;;30.0;;;0;10.0
A300B4-203;DEFAULT;1;Descend;ZERO;6000.0;250.0;3.0;;;
A300B4-203;DEFAULT;2;Descend;1;3000.0;158.5;3.0;;;
A300B4-203;DEFAULT;3;Descend;D-15;1500.0;148.5;3.0;;;
A300B4-203;DEFAULT;4;Descend;D-25;1000.0;140.0;3.0;;;
A300B4-203;DEFAULT;5;Land;D-25;;;;387.6;;
A300B4-203;DEFAULT;6;Decelerate;;;132.8;;;3488.4;40.0
A300B4-203;DEFAULT;7;Decelerate;;;30.0;;;0;10.0
A310-304;DEFAULT;1;Descend-Idle;;6000.0;250.0;3.2;;;
A310-304;DEFAULT;2;Level-Idle;;3000.0;250.0;;;14609.6;
A310-304;DEFAULT;3;Level-Idle;;3000.0;211.6;;;8736.9;
A310-304;DEFAULT;4;Descend-Idle;;3000.0;180.6;3.0;;;
A310-304;DEFAULT;5;Descend-Idle;;2551.0;169.3;3.0;;;
A310-304;DEFAULT;6;Descend-Idle;;2147.0;148.0;3.0;;;
A310-304;DEFAULT;7;Descend;FULL_D;2000.0;134.6;3.0;;;
A310-304;DEFAULT;8;Descend;FULL_D;50.0;134.6;3.0;;;
A310-304;DEFAULT;9;Land;FULL_D;;;;302.9;;
A310-304;DEFAULT;10;Decelerate;;;131.6;;;2726.6;10.0
A310-304;DEFAULT;11;Decelerate;;;30.0;;;0;10.0
A319-131;DEFAULT;1;Descend-Idle;;6000.0;250.0;3.1;;;
A319-131;DEFAULT;2;Level-Idle;;3000.0;250.0;;;19940.9;
A319-131;DEFAULT;3;Level-Idle;;3000.0;197.5;;;4813.0;
A319-131;DEFAULT;4;Descend-Idle;;3000.0;181.4;3.0;;;
A319-131;DEFAULT;5;Descend-Idle;;2610.0;167.7;3.0;;;
A319-131;DEFAULT;6;Descend-Idle;;2114.0;138.4;3.0;;;
A319-131;DEFAULT;7;Descend;FULL_D;1971.0;125.3;3.0;;;
A319-131;DEFAULT;8;Descend;FULL_D;50.0;125.3;3.0;;;
A319-131;DEFAULT;9;Land;FULL_D;;;;152.3;;
A319-131;DEFAULT;10;Decelerate;;;122.3;;;1370.6;40.0
A319-131;DEFAULT;11;Decelerate;;;30.0;;;0;10.0
A320-211;DEFAULT;1;Descend-Idle;;6000.0;250.0;3.5;;;
A320-211;DEFAULT;2;Level-Idle;;3000.0;250.0;;;16811.0;
A320-211;DEFAULT;3;Level-Idle;;3000.0;201.1;;;5547.9;
A320-211;DEFAULT;4;Descend-Idle;;3000.0;182.2;3.0;;;
A320-211;DEFAULT;5;Descend-Idle;;2614.0;173.7;3.0;;;
A320-211;DEFAULT;6;Descend-Idle;;1942.0;141.0;3.0;;;
A320-211;DEFAULT;7;Descend;FULL_D;1823.0;132.6;3.0;;;
A320-211;DEFAULT;8;Descend;FULL_D;50.0;132.6;3.0;;;
A320-211;DEFAULT;9;Land;FULL_D;;;;303.5;;
A320-211;DEFAULT;10;Decelerate;;;129.6;;;2731.6;40.0
A320-211;DEFAULT;11;Decelerate;;;30.0;;;0;10.0
A320-232;DEFAULT;1;Descend-Idle;;6000.0;250.0;2.8;;;
A320-232;DEFAULT;2;Level-Idle;;3000.0;250.0;;;20003.3;
A320-232;DEFAULT;3;Level-Idle;;3000.0;198.7;;;4629.3;
A320-232;DEFAULT;4;Descend-Idle;;3000.0;183.5;3.0;;;
A320-232;DEFAULT;5;Descend-Idle;;2613.0;172.8;3.0;;;
A320-232;DEFAULT;6;Descend-Idle;;2033.0;142.2;3.0;;;
A320-232;DEFAULT;7;Descend;FULL_D;1819.0;133.8;3.0;;;
A320-232;DEFAULT;8;Descend;FULL_D;50.0;133.8;3.0;;;
A320-232;DEFAULT;9;Land;FULL_D;;;;311.0;;
A320-232;DEFAULT;10;Decelerate;;;130.8;;;2799.4;40.0
A320-232;DEFAULT;11;Decelerate;;;30.0;;;0;10.0
A321-232;DEFAULT;1;Descend-Idle;;6000.0;250.0;3.1;;;
A321-232;DEFAULT;2;Level-Idle;;3000.0;250.0;;;14717.8;
A321-232;DEFAULT;3;Level-Idle;;3000.0;211.2;;;6135.2;
A321-232;DEFAULT;4;Descend-Idle;;3000.0;191.6;3.0;;;
A321-232;DEFAULT;5;Descend-Idle;;2530.0;175.2;3.0;;;
A321-232;DEFAULT;6;Descend-Idle;;2133.0;149.8;3.0;;;
A321-232;DEFAULT;7;Descend;FULL_D;2003.0;138.5;3.0;;;
A321-232;DEFAULT;8;Descend;FULL_D;50.0;138.5;3.0;;;
A321-232;DEFAULT;9;Land;FULL_D;;;;345.2;;
A321-232;DEFAULT;10;Decelerate;;;135.5;;;3106.8;40.0
A321-232;DEFAULT;11;Decelerate;;;30.0;;;0;10.0
A330-301;DEFAULT;1;Descend-Idle;;6000.0;250.0;3.1;;;
A330-301;DEFAULT;2;Level-Idle;;3000.0;250.0;;;19547.2;
A330-301;DEFAULT;3;Level-Idle;;3000.0;200.9;;;10029.5;
A330-301;DEFAULT;4;Descend-Idle;;3000.0;166.0;3.0;;;
A330-301;DEFAULT;5;Descend-Idle;;2547.0;154.0;3.0;;;
A330-301;DEFAULT;6;Descend-Idle;;2292.0;140.5;3.0;;;
A330-301;DEFAULT;7;Descend;FULL_D;2144.0;130.9;3.0;;;
A330-301;DEFAULT;8;Descend;FULL_D;50.0;130.9;3.0;;;
A330-301;DEFAULT;9;Land;FULL_D;;;;210.4;;
A330-301;DEFAULT;10;Decelerate;;;127.9;;;1893.8;10.0
A330-301;DEFAULT;11;Decelerate;;;30.0;;;0;10.0
A330-343;DEFAULT;1;Descend-Idle;;6000.0;250.0;2.4;;;
A330-343;DEFAULT;2;Level-Idle;;3000.0;250.0;;;20711.9;
A330-343;DEFAULT;3;Level-Idle;;3000.0;207.9;;;11430.4;
A330-343;DEFAULT;4;Descend-Idle;;3000.0;174.4;3.0;;;
A330-343;DEFAULT;5;Descend-Idle;;2517.0;165.0;3.0;;;
A330-343;DEFAULT;6;Descend-Idle;;2431.0;161.7;3.0;;;
A330-343;DEFAULT;7;Descend-Idle;;2113.0;146.6;3.0;;;
A330-343;DEFAULT;8;Descend;FULL_D;1938.0;135.5;3.0;;;
A330-343;DEFAULT;9;Descend;FULL_D;50.0;135.5;3.0;;;
