Spectral Class ID;Op Type;Description;L_50Hz;L_63Hz;L_80Hz;L_100Hz;L_125Hz;L_160Hz;L_200Hz;L_250Hz;L_315Hz;L_400Hz;L_500Hz;L_630Hz;L_800Hz;L_1000Hz;L_1250Hz;L_1600Hz;L_2000Hz;L_2500Hz;L_3150Hz;L_4000Hz;L_5000Hz;L_6300Hz;L_8000Hz;L_10000Hz
210;Approach                                          ;2-Engine.Tprop;65.0;70.0;65.0;72.0;77.0;68.0;78.0;85.0;86.0;79.0;73.0;76.0;71.0;70.0;68.0;68.0;65.0;63.0;60.0;56.0;53.0;52.0;42.0;28.0
211;Approach                                          ;2-Engine.Tprop;71.3;65.4;74.7;88.1;77.1;80.3;86.9;80.0;86.8;78.2;75.5;75.2;71.6;70.0;70.7;69.6;68.6;67.5;67.0;63.9;59.9;53.0;45.7;40.0
212;Approach                                          ;2-Engine.Tprop;72.0;68.0;79.0;71.0;73.0;84.0;74.0;75.0;73.0;72.0;71.0;77.0;73.0;70.0;77.0;75.0;72.0;70.0;71.0;83.0;75.0;57.0;54.0;45.0
213;Approach                                          ;4-Engine.Tprop+Piston;64.0;73.0;76.0;71.0;82.0;83.0;67.0;71.0;70.0;69.0;69.0;68.0;67.0;70.0;69.0;67.0;64.0;60.0;57.0;54.0;49.0;42.0;32.0;20.0
214;Approach                                          ;2/4-Engine.Tprop;61.8;69.8;61.8;58.8;67.8;70.8;62.8;59.8;62.8;60.8;60.8;59.8;60.8;70.0;67.8;61.8;59.8;56.8;52.8;49.8;47.8;45.8;35.8;27.8
215;Approach                                          ;1/2-Engine.Piston;83.0;98.0;83.0;79.0;91.0;80.0;85.0;76.0;75.0;73.0;72.0;73.0;71.0;70.0;68.0;66.0;65.0;64.0;60.0;57.0;53.0;49.0;43.0;32.0
216;Approach                                          ;2-Engine.Tjet+Tfan;68.0;63.1;64.7;71.2;74.3;75.0;70.3;72.6;72.1;73.3;71.3;70.7;70.3;70.0;69.3;68.0;67.8;66.3;64.4;62.0;57.2;52.2;43.5;33.1
234;Approach                                          ;Military;56.3;77.3;80.3;74.2;74.3;70.2;72.2;69.3;69.1;71.2;69.1;72.1;69.1;70.0;69.9;67.7;67.4;65.1;63.7;61.4;55.3;49.1;42.9;33.5
235;Approach                                          ;2-Engine.Tfan.Business;67.3;68.9;69.6;70.0;70.2;74.0;74.7;73.1;71.3;74.1;72.9;73.1;71.6;70.0;70.4;67.4;67.4;70.8;69.7;72.1;64.2;56.4;49.6;38.9
236;Approach                                          ;2-Engine.Tfan.Business;63.3;65.4;64.1;63.2;66.0;66.6;69.6;70.1;71.4;67.1;71.0;70.4;71.8;70.0;69.5;66.6;62.9;62.0;62.7;59.1;58.8;53.3;50.2;40.6
237;Approach                                          ;2-Engine.Tfan.Business;67.0;61.1;62.7;64.1;70.4;74.4;71.8;68.4;76.3;72.3;73.5;71.2;70.5;70.0;68.7;67.1;67.5;69.4;71.1;72.5;65.7;59.3;52.2;45.6
238;Approach                                          ;2-Engine.Tfan.Business;60.0;59.0;60.0;69.0;71.0;70.0;69.0;69.0;69.0;69.0;70.0;69.0;69.0;70.0;72.0;77.0;72.0;72.0;70.0;66.0;63.0;57.0;49.0;38.0
239;Approach                                          ;2-Engine.HighByPass.Tfan;71.0;65.0;60.7;70.7;74.8;76.5;73.2;71.8;75.9;73.0;71.1;70.5;70.7;70.0;68.7;67.3;65.4;63.6;60.9;58.5;56.8;51.0;45.6;36.4
240;Approach                                          ;2-Engine.Tprop;65.9;68.0;66.9;80.0;77.1;78.5;73.9;75.6;77.7;73.6;73.3;72.7;70.9;70.0;70.7;69.9;68.7;67.2;65.1;62.8;65.4;60.5;51.9;42.5
