ACFT_ID;Stage Length;Weight (lb)
A380-841;2;822921
A380-841;3;847265
A380-841;4;890164
A380-841;5;945893
A380-841;6;1006106
A380-841;7;1066266
A380-841;8;1254430
A380-861;1;798928
A380-861;2;822613
A380-861;3;846941
A380-861;4;889750
A380-861;5;943737
A380-861;6;1003582
A380-861;7;1066266
A380-861;8;1254430
ATR72;1;44750
ATR72;2;47620
ATR72;3;50710
BAC111;1;74000
BAC111;2;79000
BAC111;3;85000
BAE146;1;76000
BAE146;2;84000
BAE146;3;91000
BAE300;1;80000
BAE300;2;88000
BAE300;3;96000
BEC58P;1;5500
C130;1;132000
C130;2;155000
C130E;1;132000
C130E;2;155000
CIT3;1;20000
CL600;1;36000
CL601;1;43100
CNA172;1;2450
CNA182;1;2800
CNA206;1;3000
CNA206;2;3300
CNA206;3;3600
CNA208;1;8750
CNA20T;1;3000
CNA20T;2;3300
CNA20T;3;3600
CNA441;1;9850
CNA500;1;14700
CNA510;1;8645
CNA525C;1;16950
CNA55B;1;14800
CNA560E;1;16300
CNA560U;1;16300
CNA560XL;1;20000
CNA680;1;30000
CNA750;1;35700
CONCRD;1;340000
CONCRD;2;340000
CONCRD;3;375000
CONCRD;4;375000
CONCRD;5;400000
CONCRD;6;400000
CRJ9-ER;1;67500
CRJ9-ER;2;71000
CRJ9-ER;3;75000
CRJ9-ER;4;80000
CRJ9-ER;5;82500
CRJ9-LR;1;65500
CRJ9-LR;2;69000
CRJ9-LR;3;73000
CRJ9-LR;4;78000
CRJ9-LR;5;84500
CVR580;1;49000
CVR580;2;54000
CVR580;3;58000
DC1010;1;325000
DC1010;2;340000
DC1010;3;360000
DC1010;4;390000
DC1010;5;420000
DC1010;6;450000
DC1030;1;375000
DC1030;2;390000
DC1030;3;405000
DC1030;4;436000
DC1030;5;476000
DC1030;6;517000
DC1030;7;561000
DC1040;1;364000
DC1040;2;379000
DC1040;3;393000
DC1040;4;423000
DC1040;5;462000
DC1040;6;502000
DC1040;7;544000
DC3;1;24000
DC3;2;26000
DC3;3;28000
DC6;1;85000
DC6;2;95000
DC6;3;105000
DC820;1;180000
DC820;2;190000
DC820;3;205000
DC820;4;225000
DC820;5;250000
DC820;6;270000
DC850;1;185000
DC850;2;195000
DC850;3;210000
DC850;4;230000
DC850;5;255000
DC850;6;275000
DC860;1;220000
DC860;2;230000
DC860;3;245000
DC860;4;265000
DC860;5;290000
DC860;6;305000
DC860;7;325000
DC870;1;220000
DC870;2;230000
DC870;3;245000
DC870;4;265000
DC870;5;290000
DC870;6;305000
DC870;7;325000
DC8QN;1;220000
DC8QN;2;230000
DC8QN;3;245000
DC8QN;4;265000
DC8QN;5;290000
DC8QN;6;305000
DC8QN;7;325000
DC910;1;70000
DC910;2;78000
DC910;3;85000
DC930;1;93500
DC930;2;103000
DC930;3;112000
DC93LW;1;93500
DC93LW;2;103000
DC93LW;3;112000
DC950;1;100000
DC950;2;107000
DC950;3;115000
DC95HW;1;100000
DC95HW;2;107000
DC95HW;3;115000
DC9Q7;1;70000
DC9Q7;2;78000
DC9Q7;3;85000
DC9Q9;1;93500
DC9Q9;2;103000
DC9Q9;3;112000
DHC6;1;12500
DHC6QP;1;12500
DHC7;1;38950
DHC8;1;31000
DHC830;1;38700
DO228;1;13669
DO328;1;30843
ECLIPSE500;1;5500
ECLIPSE500;2;5891
ECLIPSE500;3;6000
EMB120;1;22475
EMB145;1;35500
EMB145;2;39500
EMB145;3;41800
EMB145;4;44000
EMB14L;1;35275
EMB14L;2;39675
EMB14L;3;41900
EMB14L;4;44100
EMB14L;5;46300
EMB14L;6;48500
EMB170;1;63070
EMB170;2;66599
EMB170;3;70484
EMB175;1;65698
EMB175;2;69459
EMB175;3;73518
EMB190;1;83520
EMB190;2;87757
EMB190;3;92363
EMB190;4;100656
EMB195;1;87096
EMB195;2;91558
EMB195;3;96388
EMB195;4;105138
F10062;1;78000
F10062;2;86000
F10062;3;93000
F10065;1;80000
F10065;2;88000
F10065;3;96000
F28MK2;1;58000
F28MK2;2;64000
F28MK4;1;61000
F28MK4;2;66000
F28MK4;3;73000
FAL20;1;28660
GII;1;56000
GIIB;1;59245
GIV;1;63410
GV;1;76925
HS748A;1;46500
IA1125;1;23500
L1011;1;330000
L1011;2;340000
L1011;3;355000
L1011;4;370000
L1011;5;400000
L1011;6;430000
L10115;1;345000
L10115;2;355000
L10115;3;370000
L10115;4;385000
L10115;5;413000
L10115;6;441000
L10115;7;470000
L188;1;93000
L188;2;102000
L188;3;115000
LEAR25;1;15000
LEAR35;1;18300
MD11GE;1;395000
MD11GE;2;410000
MD11GE;3;425000
MD11GE;4;460000
MD11GE;5;495000
MD11GE;6;535000
MD11GE;7;580000
MD11PW;1;395000
MD11PW;2;410000
MD11PW;3;425000
MD11PW;4;460000
MD11PW;5;495000
MD11PW;6;535000
MD11PW;7;580000
MD81;1;120680
MD81;2;127804
MD81;3;135134
MD81;4;140000
MD82;1;120383
MD82;2;127379
MD82;3;134584
MD82;4;145838
MD82;5;149500
MD83;1;121555
MD83;2;128361
MD83;3;135456
MD83;4;147079
MD83;5;160000
MD9025;1;131021
MD9025;2;137490
MD9025;3;144181
MD9025;4;151107
MD9025;5;156000
MD9028;1;131021
MD9028;2;137490
MD9028;3;144181
MD9028;4;151107
MD9028;5;156000
MU3001;1;14100
PA28;1;2325
PA30;1;3600
PA31;1;7000
PA42;1;11200
SABR80;1;28660
SD330;1;21800
SF340;1;24548
SF340;2;27275
